careerDegree,newCareerDegree,count
Tecnico Superior De Redes Y Comunicaciones De Datos,Tecnico,1
Tecnico Superior Universitario,Tecnico,1
Tecnico Superior Universitario En Computacion,Tecnico,1
Tecnico Superior Universitario.,Tecnico,1
Tecnico Titulado,Titulado,1
Tecnico Universitario En Programacion,Tecnico,1
Tecnologia De La Informacion Y Telecomunicaciones,Tecnico,1
The Digium Certified Asterisk Administrator (Dcaa),Certificacion,1
Titulacion - Ingenieria Civil,Titulado,1
Titulada,Titulado,1
Titulada En Arquitectura,Titulado,1
Titulado En Ingenieria De Sistemas,Titulado,1
Titulado En Ingenieria De Sistemas De Informacion,Titulado,1
Titulado En Sistemas,Titulado,1
Titulo De Ingenieria,Titulado,1
Titulo Ingeniero Electronico.,Titulado,1
Titulo Licenciada En Administracion De Empresas,Titulado,1
Universitaria Incompleta,Universitario,1
Ux & Ixd,Tecnico,1
Virtualizacion Con Vmware Vsphere 6.5,Certificacion,1
Web Developer,Tecnico,1
Web Development,Tecnico,1
Web Full-Stack Developer,Tecnico,1
Yellow Belt,Certificacion,1
