lastWorkCenter,equivalence,count,equals
Gilat Peru,Gilat Peru,1,TRUE
Git Grupo Gesintel Peru Sac,Git Grupo Gesintel Peru Sac,1,TRUE
Glencore- Empresa Minera Los Quenuales S.A.,Glencore- Empresa Minera Los Quenuales S.A.,1,TRUE
Glexco Sac,Glexco Sac,2,TRUE
Global Billion,Global Billion,1,TRUE
Global Business Solution Sac,Global Business Solution Sac,2,TRUE
Global Business Solutions,Global Business Solutions,4,TRUE
Global Hitss,Global Hitss Peru S.A.C.,40,FALSE
Global Hitss - America Movil,Global Hitss Peru S.A.C.,1,FALSE
Global Hitss - America Movil / Claro,Global Hitss Peru S.A.C.,1,FALSE
Global Hitss (Cliente Claro),Global Hitss Peru S.A.C.,2,FALSE
Global Hitss (Grupo America Movil),Global Hitss Peru S.A.C.,1,FALSE
Global Hitss Peru,Global Hitss Peru S.A.C.,4,FALSE
Global Hitss Peru S.A.C.,Global Hitss Peru S.A.C.,1,TRUE
Global Its,Global Its,1,TRUE
Global Management Corporation (Gmc),Global Management Corporation (Gmc),1,TRUE
Global Resources,Global Resources,1,TRUE
Global Sales Solutions,Global Sales Solutions,1,TRUE
Global Sales Solutions Line Sl Sucursal Peru,Global Sales Solutions Line Sl Sucursal Peru,1,TRUE
Global Solution Integrate,Global Solution Integrate,1,TRUE
Global Tpa,Global Tpa,3,TRUE
Globalhitss,Global Hitss Peru S.A.C.,1,FALSE
Globalhitss Para Cliente Claro,Global Hitss Peru S.A.C.,1,FALSE
Globant,Globant,2,TRUE
Globant Peru,Globant Peru,1,TRUE
Globokas,Globokas,1,TRUE
Globokas Peru,Globokas Peru,1,TRUE
Glocalbc,Glocalbc,1,TRUE
Glolbal Hitss,Global Hitss Peru S.A.C.,2,FALSE
Gloria S.A,Gloria S.A,1,TRUE
Gloria S.A.,Gloria S.A.,1,TRUE
Glovo,Glovo,1,TRUE
Glovo App Peru,Glovo App Peru,2,TRUE
Gmc Soft,Gmc Soft,1,TRUE
Gmd,Gmd,8,TRUE
Gmd Bbva,Gmd Bbva,1,TRUE
Gminort,Gminort,1,TRUE
Gml Soluciones,Gml Soluciones,1,TRUE
Go Ahead Sac (Nirex),Go Ahead Sac (Nirex),1,TRUE
Go Jom,Go Jom,2,TRUE
Gobierno Del Distrito Capital,Gobierno Del Distrito Capital,1,TRUE
Gobierno Regional De Loreto,Gobierno Regional De Loreto,1,TRUE
Gobierno Regional Del Callao,Gobierno Regional Del Callao,1,TRUE
Gobierno Regional Pasco,Gobierno Regional Pasco,1,TRUE
Golden Freezer Eirl,Golden Freezer Eirl,1,TRUE
Golden Investment,Golden Investment,1,TRUE
Golden Investment S.A,Golden Investment S.A,2,TRUE
Goled Peru,Goled Peru,1,TRUE
Gpon Networks,Gpon Networks,2,TRUE
Gps Asset Management,Gps Asset Management,1,TRUE
Grafica Cristal S.R.L.,Grafica Cristal S.R.L.,1,TRUE
Grafica Ibelsa,Grafica Ibelsa,1,TRUE
Grafica Industrial Alarcon Srltda.,Grafica Industrial Alarcon Srltda.,1,TRUE
Grana Y Montero,Grana Y Montero,1,TRUE
Grana Y Montero - Linea 1 Del Metro De Lima,Grana Y Montero - Linea 1 Del Metro De Lima,2,TRUE
Grana Y Montero Petrolera,Grana Y Montero Petrolera,3,TRUE
Granos Y Verdes,Granos Y Verdes,1,TRUE
Green Electronics,Green Electronics,2,TRUE
Greenbird Agtech,Greenbird Agtech,1,TRUE
Gretel International Sac,Gretel International Sac,1,TRUE
Groundprobe Peru S.A.C. (Grupo Orica),Groundprobe Peru S.A.C. (Grupo Orica),1,TRUE
Grow Consultores,Grow Consultores,1,TRUE
"Grunenthal Peruana S,A","Grunenthal Peruana S,A",1,TRUE
Grupo 3 Inmuebles,Grupo 3 Inmuebles,1,TRUE
Grupo A.H.J.,Grupo A.H.J.,1,TRUE
Grupo Aje,Grupo Aje,4,TRUE
Grupo Alvarado - Nexa,Grupo Alvarado - Nexa,1,TRUE
Grupo Apr Sac,Grupo Apr Sac,1,TRUE
Grupo Ast,Grupo Ast,2,TRUE
Grupo Athos,Grupo Athos,1,TRUE
Grupo Auna,Grupo Auna,2,TRUE
Grupo Avanza Sac,Grupo Avanza Sac,1,TRUE
Grupo Avatar Pucp,Grupo Avatar Pucp,1,TRUE
Grupo Bantek,Grupo Bantek,1,TRUE
Grupo Bengala Inmobiliario,Grupo Bengala Inmobiliario,1,TRUE
Grupo Bolsa De Valores De Lima,Grupo Bolsa De Valores De Lima,1,TRUE
Grupo Briser Peru,Grupo Briser Peru,3,TRUE
Grupo C Peru Sac,Grupo C Peru Sac,1,TRUE
Grupo Cabal,Grupo Cabal,1,TRUE
Grupo Cahema S.A.C.,Grupo Cahema S.A.C.,1,TRUE
Grupo Cargo Business,Grupo Cargo Business,1,TRUE
Grupo Caupesac,Grupo Caupesac,1,TRUE
Grupo Chacarilla Sur,Grupo Chacarilla Sur,2,TRUE
Grupo Chemmer,Grupo Chemmer,1,TRUE
Grupo Cinte Peru,Grupo Cinte Peru,1,TRUE
Grupo Cobra Peru,Grupo Cobra Peru,2,TRUE
Grupo Compina,Grupo Compina,1,TRUE
Grupo Copetrol,Grupo Copetrol,1,TRUE
Grupo Coril S.A.,Grupo Coril S.A.,1,TRUE
Grupo Costamar Travel,Grupo Costamar Travel,1,TRUE
Grupo Crosland,Grupo Crosland,1,TRUE
Grupo Dalisa S.A.C,Grupo Dalisa S.A.C,1,TRUE
"Grupo Delaware Peru, S.A.C","Grupo Delaware Peru, S.A.C",1,TRUE
Grupo Deltron,Grupo Deltron,4,TRUE
Grupo Deltron S.A.,Grupo Deltron S.A.,1,TRUE
Grupo El Comercio,Grupo El Comercio,6,TRUE
Grupo El Marques,Grupo El Marques,1,TRUE
Grupo Electrodata,Grupo Electrodata,5,TRUE
Grupo Electrodata -Compania Minera Miskymayo,Grupo Electrodata -Compania Minera Miskymayo,2,TRUE
Grupo Electrodata S.A.C.,Grupo Electrodata S.A.C.,3,TRUE
Grupo Empresarial El Rapido Sa,Grupo Empresarial El Rapido Sa,1,TRUE
Grupo Entretenedores,Grupo Entretenedores,1,TRUE
Grupo Erca,Grupo Erca,1,TRUE
Grupo Euromotors,Grupo Euromotors,2,TRUE
Grupo Falabella - Falabella Tecnologia Peru,Grupo Falabella - Falabella Tecnologia Peru,1,TRUE
Grupo Fe,Grupo Fe,1,TRUE
Grupo Gerencial Srl,Grupo Gerencial Srl,1,TRUE
Grupo Gloria (Centro S.A),Grupo Gloria (Centro S.A),1,TRUE
Grupo Gurkas S.A.C,Grupo Gurkas S.A.C,1,TRUE
Grupo Intercorp,Grupo Intercorp,2,TRUE
Grupo Jlb,Grupo Jlb,1,TRUE
Grupo Jma,Grupo Jma,2,TRUE
Grupo Kio S.A.C,Grupo Kio S.A.C,1,TRUE
Grupo Konecta,Grupo Konecta,2,TRUE
Grupo La Republica,Grupo La Republica,2,TRUE
Grupo Limpium,Grupo Limpium,1,TRUE
Grupo M&Amp;G Negocios - Mg Motos,Grupo M&Amp;G Negocios - Mg Motos,1,TRUE
Grupo Maquinarias,Grupo Maquinarias,1,TRUE
Grupo Mkm Scrl,Grupo Mkm Scrl,1,TRUE
Grupo Palmas,Grupo Palmas,3,TRUE
Grupo Palomino S.A,Grupo Palomino S.A,1,TRUE
Grupo Pana,Grupo Pana,1,TRUE
Grupo Paracas,Grupo Paracas,1,TRUE
Grupo Peru Alfa,Grupo Peru Alfa,1,TRUE
Grupo Planeta S.A.,Grupo Planeta S.A.,2,TRUE
Grupo Pumaccahua,Grupo Pumaccahua,1,TRUE
Grupo Rohcaz Constructora E Inmmobiliaria S.A.C,Grupo Rohcaz Constructora E Inmmobiliaria S.A.C,1,TRUE
Grupo Rokys,Grupo Rokys,5,TRUE
Grupo Romero - Excellia,Grupo Romero - Excellia,2,TRUE
Grupo Rpp,Grupo Rpp,2,TRUE
Grupo Salinas -,Grupo Salinas -,3,TRUE
Grupo San Pablo,Grupo San Pablo,3,TRUE
Grupo San Pablo - Servicios Servial,Grupo San Pablo - Servicios Servial,1,TRUE
Grupo San Pablo S.A.,Grupo San Pablo S.A.,1,TRUE
Grupo Scotiabank,Grupo Scotiabank,1,TRUE
Grupo Seidor,Grupo Seidor,1,TRUE
Grupo Seidor Peru,Grupo Seidor Peru,1,TRUE
Grupo Silvestre,Grupo Silvestre,1,TRUE
Grupo Stefanini,Grupo Stefanini,2,TRUE
Grupo Stt Peru,Grupo Stt Peru,1,TRUE
Grupo Sura,Grupo Sura,1,TRUE
Grupo Tawa,Grupo Tawa,4,TRUE
Grupo Tcontakto,Grupo Tcontakto,2,TRUE
Grupo Tecnologico Del Peru S.A.,Grupo Tecnologico Del Peru S.A.,1,TRUE
Grupo Tyc,Grupo Tyc,1,TRUE
Grupo Utp,Grupo Utp,1,TRUE
Grupo Utp-Intercorp,Grupo Utp-Intercorp,1,TRUE
Grupo Vyv Bravo Sac,Grupo Vyv Bravo Sac,2,TRUE
Grupo: Ipesa,Grupo: Ipesa,1,TRUE
Grupoutp,Grupoutp,1,TRUE
Gs1 Peru,Gs1 Peru,1,TRUE
Gsperu S.A.C,Gsperu S.A.C,1,TRUE
Gss,Gss,3,TRUE
Gss - Peru,Gss - Peru,2,TRUE
Gt Software,Gt Software,1,TRUE
Gta Peru Sac,Gta Peru Sac,1,TRUE
Gtd,Gtd,4,TRUE
Gtd Peru,Gtd Peru,2,TRUE
Gubarq Studio,Gubarq Studio,1,TRUE
Gym,Gym,1,TRUE
Gym S.A,Gym S.A,1,TRUE
Gym S.A. - Grupo Grana Y Montero,Gym S.A. - Grupo Grana Y Montero,3,TRUE
Gys Gestion Y Sistemas - Mincetur,Gys Gestion Y Sistemas - Mincetur,1,TRUE
Gyw Servicios Generales Eirl,Gyw Servicios Generales Eirl,1,TRUE
H Y E Consultores,H Y E Consultores,2,TRUE
H&Amp;E Consultores,H&Amp;E Consultores,2,TRUE
H&Amp;M,H&Amp;M,1,TRUE
H.W. Kessel Sac,H.W. Kessel Sac,2,TRUE
Hallwiya,Hallwiya,1,TRUE
Handtech E.I.R.L.,Handtech E.I.R.L.,1,TRUE
Hare,Hare,1,TRUE
Hasoft Center,Hasoft Center,1,TRUE
Havas Media,Havas Media,1,TRUE
Hco Latam,Hco Latam,1,TRUE
Hdc Bpo,Hdc Bpo,1,TRUE
Hdec Bpo Services,Hdec Bpo Services,1,TRUE
Hebo Comercial,Hebo Comercial,1,TRUE
Heinflex Peru Sac,Heinflex Peru Sac,1,TRUE
Heinz Glas Peru,Heinz Glas Peru,1,TRUE
Hellmann,Hellmann,1,TRUE
Hello Zum,Hello Zum,1,TRUE
Hellozum,Hellozum,3,TRUE
Helpnet Peru,Helpnet Peru,2,TRUE
Hennes And Mauritz Sac,Hennes And Mauritz Sac,1,TRUE
Hermes,Hermes,1,TRUE
Hermes Transportes Blindados,Hermes Transportes Blindados,2,TRUE
Herramientas Y Accesorios Sac,Herramientas Y Accesorios Sac,1,TRUE
Hewlett Packard,Hewlett Packard,1,TRUE
Hewlett Packard Enterprise (Hpe) - Cliente Entel,Hewlett Packard Enterprise (Hpe) - Cliente Entel,1,TRUE
Hewlett-Packard,Hewlett-Packard,1,TRUE
Hfocus Licenciamiento De Software,Hfocus Licenciamiento De Software,6,TRUE
Hias Peru,Hias Peru,2,TRUE
Hidrostal S.A.,Hidrostal S.A.,1,TRUE
High Service,High Service,1,TRUE
High Service International,High Service International,2,TRUE
High Service International Sac,High Service International Sac,2,TRUE
High Servis,High Servis,1,TRUE
High Talent Asociados S.A.C,High Talent Asociados S.A.C,1,TRUE
High Talent Asoiciados,High Talent Asoiciados,1,TRUE
High Techno World,High Techno World,1,TRUE
Highservice International Sac,Highservice International Sac,1,TRUE
Hilart Sac,Hilart Sac,1,TRUE
Hilti And Knowlton,Hilti And Knowlton,1,TRUE
Hiper S.A.,Hiper S.A.,1,TRUE
Hiper Sa.,Hiper Sa.,1,TRUE
Hipermercados Tottus,Hipermercados Tottus,4,TRUE
Hipermercados Tottus S.A,Hipermercados Tottus S.A,1,TRUE
Hitss,Global Hitss Peru S.A.C.,6,FALSE
Hitss Peru,Global Hitss Peru S.A.C.,3,FALSE
Hitss Peru S.A.C,Global Hitss Peru S.A.C.,1,FALSE
Hitss Peru S.A.C.,Global Hitss Peru S.A.C.,1,FALSE
Hitss Peru Sac,Global Hitss Peru S.A.C.,1,FALSE
Hochschild Mining,Hochschild Mining,1,TRUE
Holt Company,Holt Company,1,TRUE
Homeaway By @Aynitech,Homeaway By @Aynitech,1,TRUE
Hortifrut Peru,Hortifrut Peru,1,TRUE
Hospital Carlos Lanfranco La Hoz,Hospital Carlos Lanfranco La Hoz,1,TRUE
Hospital Daniel Alcides Carrion,Hospital Daniel Alcides Carrion,1,TRUE
Hospital De Emergencia Ate Vitarte Covid-19,Hospital De Emergencia Ate Vitarte Covid-19,1,TRUE
Hospital Diospi Suyana,Hospital Diospi Suyana,1,TRUE
Hospital Militar Geriatrico,Hospital Militar Geriatrico,1,TRUE
Hospital Nacional Sergio E. Bernales,Hospital Nacional Sergio E. Bernales,2,TRUE
Hospital San Bartolome,Hospital San Bartolome,1,TRUE
Hospital San Jose De Chincha,Hospital San Jose De Chincha,1,TRUE
Hospital Sergio Bernales-Collique,Hospital Sergio Bernales-Collique,1,TRUE
Hotel Casa Andina Premium Miraflores,Hotel Casa Andina Premium Miraflores,1,TRUE
Hotel El Arrabal,Hotel El Arrabal,1,TRUE
Hotel Pullman,Hotel Pullman,2,TRUE
Hotel Sonesta Olivar,Hotel Sonesta Olivar,1,TRUE
Hoteles Costa Del Sol,Hoteles Costa Del Sol,1,TRUE
Housemart Peru Sac,Housemart Peru Sac,1,TRUE
Hp Inc Peru S.R.L - Cliente Bcp,Hp Inc Peru S.R.L - Cliente Bcp,1,TRUE
Hpp Aditivos,Hpp Aditivos,1,TRUE
Hr Growth Human Resources,Hr Growth Human Resources,2,TRUE
Hrl Soluciones S.A.C,Hrl Soluciones S.A.C,1,TRUE
Https://Willycasanaportafolio.Bss.Design,Https://Willycasanaportafolio.Bss.Design,1,TRUE
Huawei,Huawei,6,TRUE
Huawei Del Peru,Huawei Del Peru,4,TRUE
Huemura,Huemura,1,TRUE
Human Solutions,Human Solutions,1,TRUE
Humana Socios Estrategicos,Humana Socios Estrategicos,1,TRUE
Hundred,Hundred,8,TRUE
Hundred - Gfi (Quimica Suiza),Hundred - Gfi (Quimica Suiza),3,TRUE
Hundred (Belcorp),Hundred (Belcorp),3,TRUE
Hundred / Belcorp,Hundred / Belcorp,1,TRUE
Hundred Consulting Sac,Hundred Consulting Sac,1,TRUE
Hundred S.A.C.,Hundred S.A.C.,1,TRUE
Hundred Sac,Hundred Sac,4,TRUE
Hunt Lng Operating Company S.A.C. - Canete,Hunt Lng Operating Company S.A.C. - Canete,1,TRUE
Hunter Lojack,Hunter Lojack,1,TRUE
Hunter Peru,Hunter Peru,1,TRUE
Hv Sac,Hv Sac,1,TRUE
Hyundai,Hyundai,1,TRUE
"I.E. Ndeg 22449 ""Andres Avelino Caceres""","I.E. Ndeg 22449 ""Andres Avelino Caceres""",3,TRUE
"I.E.E. Ndeg 1071 ""Alfonso Ugarte""","I.E.E. Ndeg 1071 ""Alfonso Ugarte""",1,TRUE
I.E.P Alfa,I.E.P Alfa,1,TRUE
I.E.P Alfred Nobel,I.E.P Alfred Nobel,1,TRUE
I.E.P Deuni School,I.E.P Deuni School,1,TRUE
I.E.S.P Comunidad Teologica Del Peru,I.E.S.P Comunidad Teologica Del Peru,1,TRUE
Iafas-Fosfap,Iafas-Fosfap,1,TRUE
Ibam,Ibam,1,TRUE
Ibcorp,Ibcorp,1,TRUE
Ibermatica,Ibermatica,4,TRUE
Iberoplast S.A.,Iberoplast S.A.,1,TRUE
Iberotex Sac Zara,Iberotex Sac Zara,3,TRUE
Ibm,Ibm,10,TRUE
Ibm - Bcp,Ibm - Bcp,2,TRUE
Ibm - Csti,Ibm - Csti,5,TRUE
Ibm - Proyecto Bcp,Ibm - Proyecto Bcp,1,TRUE
Ibm Del Peru,Ibm Del Peru,2,TRUE
Ibm Del Peru S.A.C.,Ibm Del Peru S.A.C.,1,TRUE
Ibm Del Peru Sac,Ibm Del Peru Sac,1,TRUE
Ibm Del Peru Sac.,Ibm Del Peru Sac.,1,TRUE
Ibm Peru,Ibm Peru,1,TRUE
Ibm_Peru,Ibm_Peru,1,TRUE
Ibsoft Development,Ibsoft Development,1,TRUE
Ibtgroup,Ibtgroup,1,TRUE
Ice Solutions,Ice Solutions,1,TRUE
Ico Logistica Sac,Ico Logistica Sac,1,TRUE
Icpna,Icpna,2,TRUE
Icpna - Instituto Cultural Peruano Norteamericano,Icpna - Instituto Cultural Peruano Norteamericano,1,TRUE
Icpna-La Molina,Icpna-La Molina,1,TRUE
Idat,Idat,3,TRUE
Idat S.A.C,Idat S.A.C,1,TRUE
Idat-Utp,Idat-Utp,1,TRUE
Idat-Utp Grupo Intercorp,Idat-Utp Grupo Intercorp,1,TRUE
Ide Solution,Ide Solution,1,TRUE
Ideap Consulting Group,Ideap Consulting Group,1,TRUE
Ideas Diferentes S.A.C.,Ideas Diferentes S.A.C.,5,TRUE
Idiomas Catolica,Idiomas Catolica,2,TRUE
"Idom Consulting, Engineering, Architecture","Idom Consulting, Engineering, Architecture",2,TRUE
Ids Consulting,Ids Consulting,4,TRUE
Ids Latam,Ids Latam,1,TRUE
Ie San Agustin,Ie San Agustin,1,TRUE
Ieduca,Ieduca,5,TRUE
"Ieduca: Certus, Toulouse Lautrec Y Ucal","Ieduca: Certus, Toulouse Lautrec Y Ucal",1,TRUE
Ieee Comsoc Unmsm,Ieee Comsoc Unmsm,1,TRUE
Ieee Ras,Ieee Ras,1,TRUE
Iespp-Abl,Iespp-Abl,1,TRUE
Iest Almirante Miguel Grau,Iest Almirante Miguel Grau,1,TRUE
Iestp De Cabanillas,Iestp De Cabanillas,4,TRUE
Ifood,Ifood,1,TRUE
Igh Ingenieria S.A.,Igh Ingenieria S.A.,1,TRUE
Ikergust Service &Amp; Technology E.I.R.L,Ikergust Service &Amp; Technology E.I.R.L,1,TRUE
Ilaria International,Ilaria International,1,TRUE
Ilender Peru Sa,Ilender Peru Sa,1,TRUE
Im Ingenieria Y Manufactura,Im Ingenieria Y Manufactura,1,TRUE
Imexa Peru E.I.R.L,Imexa Peru E.I.R.L,1,TRUE
Imfundo Kahle,Imfundo Kahle,1,TRUE
Import &Amp; Export El Triunfo Servicios Generales S.R.L.,Import &Amp; Export El Triunfo Servicios Generales S.R.L.,1,TRUE
Import &Amp; Export Izam S.A.C,Import &Amp; Export Izam S.A.C,1,TRUE
Importaciones Hiraoka S.A.C,Importaciones Hiraoka S.A.C,2,TRUE
Importaciones Uno Mas Uno,Importaciones Uno Mas Uno,1,TRUE
Impulsa A365,Impulsa A365,1,TRUE
Impulso Labs,Impulso Labs,1,TRUE
Ims- Iqvia,Ims- Iqvia,4,TRUE
Inabif,Inabif,1,TRUE
Inca Rail Sac,Inca Rail Sac,2,TRUE
Incacel Movil S.A,Incacel Movil S.A,1,TRUE
Incimmet,Incimmet,1,TRUE
Incognito Srl,Incognito Srl,1,TRUE
Inconcert,Inconcert,1,TRUE
Indecopi,Indecopi,1,TRUE
Indelat Sac,Indelat Sac,1,TRUE
Independiente,Independiente,42,TRUE
Indiggo Publicidad,Indiggo Publicidad,2,TRUE
Indigital Solutions Sac,Indigital Solutions Sac,2,TRUE
Indigo Smart Solutions,Indigo Smart Solutions,1,TRUE
Indra,Indra,38,TRUE
Indra Company,Indra Company,9,TRUE
Indra Company (Indra Peru S.A.),Indra Company (Indra Peru S.A.),2,TRUE
Indra Peru,Indra Peru,12,TRUE
Indra Peru S.A.,Indra Peru S.A.,3,TRUE
Indra Peru Sac,Indra Peru Sac,1,TRUE
Indra S.A,Indra S.A,1,TRUE
Indumelab,Indumelab,1,TRUE
Industria De Molienda Y Comercializacion S.A.C,Industria De Molienda Y Comercializacion S.A.C,1,TRUE
Industrial Controls Sac,Industrial Controls Sac,1,TRUE
Industrial Don Martin Sac,Industrial Don Martin Sac,1,TRUE
Industrias Alimentarias,Industrias Alimentarias,3,TRUE
Industrias Del Espino,Industrias Del Espino,1,TRUE
Industrias Dq,Industrias Dq,2,TRUE
Industrias Sadare S.A.C,Industrias Sadare S.A.C,1,TRUE
Industrias San Miguel,Industrias San Miguel,1,TRUE
Industrias Teal,Industrias Teal,1,TRUE
Industrias Triveca S.A.C,Industrias Triveca S.A.C,1,TRUE
Inei,Inei,7,TRUE
Inelcom,Inelcom,2,TRUE
Inetum,Inetum,8,TRUE
Inetum Espana S.A. - Sucursal En Peru,Inetum Espana S.A. - Sucursal En Peru,1,TRUE
Inetum Peru,Inetum Peru,3,TRUE
Inetum Sac,Inetum Sac,2,TRUE
Infhotel - Inforest - Infomatica,Infhotel - Inforest - Infomatica,2,TRUE
Infhotel Servicios Informaticos,Infhotel Servicios Informaticos,1,TRUE
Infinia Operador Logistico S.A. Hansa Aduanas S.A.,Infinia Operador Logistico S.A. Hansa Aduanas S.A.,3,TRUE
Infopuc (Instituto De Informatica De La Pucp),Infopuc (Instituto De Informatica De La Pucp),1,TRUE
Informatica Delta,Informatica Delta,3,TRUE
Informatica Delta / Ripley S.A,Informatica Delta / Ripley S.A,2,TRUE
Informatica Delta Sac,Informatica Delta Sac,2,TRUE
Informatica Delta(Bancoripley Account),Informatica Delta(Bancoripley Account),1,TRUE
Informese Sac,Informese Sac,1,TRUE
Infratech,Infratech,1,TRUE
Ingemmet,Ingemmet,1,TRUE
Ingenieria Aplicada Y Servicios Generales E.I.R.L.,Ingenieria Aplicada Y Servicios Generales E.I.R.L.,1,TRUE
Ingenieria Medioambiente Construccion S.A.,Ingenieria Medioambiente Construccion S.A.,1,TRUE
Ingenieria Y Servicios Generales Srl (Insergg),Ingenieria Y Servicios Generales Srl (Insergg),1,TRUE
Ingenieros Friotemp S.A.C,Ingenieros Friotemp S.A.C,1,TRUE
Ingram Micro,Ingram Micro,1,TRUE
Ingram Micro S.A.C.,Ingram Micro S.A.C.,4,TRUE
Inka Technologies (Bitinka),Inka Technologies (Bitinka),1,TRUE
Inkafarma,Inkafarma,1,TRUE
Inkapro,Inkapro,1,TRUE
Inkua,Inkua,1,TRUE
Inlingua,Inlingua,1,TRUE
Inma Ingenieria Automotriz,Inma Ingenieria Automotriz,1,TRUE
Inmac,Inmac,1,TRUE
Inmobiliaria Koricancha S.A,Inmobiliaria Koricancha S.A,1,TRUE
Inmobiliaria Y Contructora Marcan,Inmobiliaria Y Contructora Marcan,1,TRUE
Inmobitec,Inmobitec,1,TRUE
Innova Digital Solutions,Innova Digital Solutions,1,TRUE
Innova Funding Sac,Innova Funding Sac,1,TRUE
Innova Pucp,Innova Pucp,1,TRUE
Innova S.,Innova S.,1,TRUE
Innova Soluciones Sac,Innova Soluciones Sac,1,TRUE
Innovacion En Geosinteticos Y Construccion,Innovacion En Geosinteticos Y Construccion,1,TRUE
Innovapucp,Innovapucp,2,TRUE
Innovarit,Innovarit,1,TRUE
Innovatech Jc,Innovatech Jc,2,TRUE
Inovati,Inovati,2,TRUE
Inpe,Inpe,1,TRUE
Inpecorp,Inpecorp,1,TRUE
Inpelsa,Inpelsa,1,TRUE
Inppares,Inppares,1,TRUE
Inqa Technologies E.I.R.L,Inqa Technologies E.I.R.L,1,TRUE
Inretail,Inretail,2,TRUE
Inretail Pharma,Inretail Pharma,1,TRUE
Insan Consultores,Insan Consultores,1,TRUE
Inside Regional Media,Inside Regional Media,4,TRUE
Inspira It,Inspira It,1,TRUE
Inspira Tecnology Secure,Inspira Tecnology Secure,1,TRUE
Inst. Sup. Sise,Inst. Sup. Sise,1,TRUE
Institucion 0026 San Roque,Institucion 0026 San Roque,2,TRUE
Institucion De Rehabilitacion Integral Y Educacion Especial,Institucion De Rehabilitacion Integral Y Educacion Especial,1,TRUE
Institucion Gue. Jose Antonio Encionas,Institucion Gue. Jose Antonio Encionas,1,TRUE
Institucion Sise,Institucion Sise,1,TRUE
Instituto Cibertec,Instituto Cibertec,1,TRUE
Instituto Cientifico Del Pacifico,Instituto Cientifico Del Pacifico,1,TRUE
Instituto Cimas,Instituto Cimas,1,TRUE
Instituto Cultural Peruano Norteamericano,Instituto Cultural Peruano Norteamericano,1,TRUE
Instituto De Ciencias Y Humanidades,Instituto De Ciencias Y Humanidades,1,TRUE
Instituto De Educacion Tecnologico Publico,Instituto De Educacion Tecnologico Publico,1,TRUE
Instituto De Seguridad Minera - Isem,Instituto De Seguridad Minera - Isem,2,TRUE
Instituto Del Mar Del Peru - Imarpe,Instituto Del Mar Del Peru - Imarpe,1,TRUE
Instituto Geofisico Del Peru,Instituto Geofisico Del Peru,2,TRUE
Instituto Libertador,Instituto Libertador,1,TRUE
Instituto Morveltec.,Instituto Morveltec.,1,TRUE
Instituto Nacional De Calidad,Instituto Nacional De Calidad,2,TRUE
Instituto Nacional De Defensa Civil. (Indeci),Instituto Nacional De Defensa Civil. (Indeci),1,TRUE
Instituto Nacional De Estadistica (Ine),Instituto Nacional De Estadistica (Ine),1,TRUE
Instituto Nacional De Estadistica E Informatica,Instituto Nacional De Estadistica E Informatica,2,TRUE
Instituto Nacional De Oftalmologia,Instituto Nacional De Oftalmologia,1,TRUE
Instituto Peruano Norteamericano,Instituto Peruano Norteamericano,2,TRUE
Instituto Peruano Para La Concertacion Y El Desarrollo S.R.L.,Instituto Peruano Para La Concertacion Y El Desarrollo S.R.L.,1,TRUE
Instituto San Pablo,Instituto San Pablo,1,TRUE
Instituto Superior Cimas,Instituto Superior Cimas,2,TRUE
Instituto Superior Sise,Instituto Superior Sise,2,TRUE
Instituto Superior Tecnologico Jhalebeth,Instituto Superior Tecnologico Jhalebeth,1,TRUE
Instituto Superior Tecsup,Instituto Superior Tecsup,1,TRUE
Instituto Toulouse Lautrec,Instituto Toulouse Lautrec,1,TRUE
Instituto World English,Instituto World English,1,TRUE
Instruprocesos,Instruprocesos,1,TRUE
Intech Sa,Intech Sa,1,TRUE
Integra Retail S.A.C.,Integra Retail S.A.C.,1,TRUE
Integrator S.A.C.,Integrator S.A.C.,1,TRUE
Integrator Sac,Integrator Sac,1,TRUE
Intelec,Intelec,1,TRUE
Intelecto E.I.R.L. Microsoft Partner,Intelecto E.I.R.L. Microsoft Partner,1,TRUE
Intelica,Intelica,1,TRUE
Intelica Corp,Intelica Corp,1,TRUE
Intelidata,Intelidata,1,TRUE
Intelinet,Intelinet,1,TRUE
Intellisoftsa,Intellisoftsa,1,TRUE
Interamerican Service Co,Interamerican Service Co,1,TRUE
Interamericana,Interamericana,1,TRUE
Interamsa (Inversiones Interamericanas),Interamsa (Inversiones Interamericanas),2,TRUE
Interbank,Interbank,16,TRUE
Intercorp - Inlearning,Intercorp - Inlearning,1,TRUE
Intercorp Retail,Intercorp Retail,1,TRUE
Intercorpretail,Intercorpretail,2,TRUE
Interfono Sac,Interfono Sac,1,TRUE
Intergrupo Peru Sac,Intergrupo Peru Sac,1,TRUE
Interoc Sa,Interoc Sa,1,TRUE
Interpublic Colombia S.A.S,Interpublic Colombia S.A.S,1,TRUE
Interseguro,Interseguro,2,TRUE
Interseguro Compania De Seguros,Interseguro Compania De Seguros,1,TRUE
Interseguros,Interseguros,1,TRUE
Intertek,Intertek,1,TRUE
Intursa,Intursa,1,TRUE
Intursa- Hotel Aloft Lima Miraflores,Intursa- Hotel Aloft Lima Miraflores,1,TRUE
Inventory Group Sac,Inventory Group Sac,2,TRUE
Invermet,Invermet,1,TRUE
Inversiones Ascencion De Cachuy S.A.C.,Inversiones Ascencion De Cachuy S.A.C.,2,TRUE
Inversiones Cea Metales Srl,Inversiones Cea Metales Srl,1,TRUE
